Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Fanconi anemia pathway,42/54,3.0849973621805614e-82,1.912698364551948e-80,0,0,687.6980198019802,129070.89637200515,MUS81;BLM;FAAP24;BRCA1;BRCA2;BRIP1;SLX4;EME1;USP1;PMS2;HES1;ATRIP;FAAP100;FANCI;RMI2;CENPX;FANCM;RMI1;FANCL;TOP3A;FANCA;RPA1;RPA2;FANCC;FANCB;FANCE;MLH1;PALB2;FANCG;FANCF;RAD51C;RAD51;FANCD2;ERCC4;ERCC1;RPA3;UBE2T;SLX1A;FAN1;TELO2;ATR;CENPS
GO_Biological_Process_2021,Fanconi anemia pathway,42/54,3.0849973621805614e-82,1.912698364551948e-80,0,0,687.6980198019802,129070.89637200515,MUS81;BLM;FAAP24;BRCA1;BRCA2;BRIP1;SLX4;EME1;USP1;PMS2;HES1;ATRIP;FAAP100;FANCI;RMI2;CENPX;FANCM;RMI1;FANCL;TOP3A;FANCA;RPA1;RPA2;FANCC;FANCB;FANCE;MLH1;PALB2;FANCG;FANCF;RAD51C;RAD51;FANCD2;ERCC4;ERCC1;RPA3;UBE2T;SLX1A;FAN1;TELO2;ATR;CENPS
KEGG_2021_Human,Homologous recombination,31/41,9.79088192233303e-60,3.0351733959232396e-58,0,0,549.3366071428571,74640.37211217209,MUS81;BLM;MRE11;ABRAXAS1;BRCA1;BRCA2;BABAM1;BRIP1;EME1;POLD1;UIMC1;RBBP8;RAD54L;NBN;TOPBP1;BARD1;XRCC2;TOP3A;XRCC3;RPA1;RPA2;PALB2;RAD51B;RAD52;SEM1;RAD50;RAD51D;RAD51;RAD51C;RPA3;ATM
GO_Biological_Process_2021,Homologous recombination,31/41,9.79088192233303e-60,3.0351733959232396e-58,0,0,549.3366071428571,74640.37211217209,MUS81;BLM;MRE11;ABRAXAS1;BRCA1;BRCA2;BABAM1;BRIP1;EME1;POLD1;UIMC1;RBBP8;RAD54L;NBN;TOPBP1;BARD1;XRCC2;TOP3A;XRCC3;RPA1;RPA2;PALB2;RAD51B;RAD52;SEM1;RAD50;RAD51D;RAD51;RAD51C;RPA3;ATM
GO_Biological_Process_2021,Nucleotide excision repair,16/47,2.447897436852445e-23,5.05898803616172e-22,0,0,80.5730251460503,4194.972325409731,PCNA;RFC2;XPA;RPA1;RPA2;XPC;RAD23B;ERCC3;ERCC4;POLD1;ERCC1;RPA3;ERCC2;ERCC8;ERCC5;POLE
KEGG_2021_Human,Nucleotide excision repair,16/47,2.447897436852445e-23,5.05898803616172e-22,0,0,80.5730251460503,4194.972325409731,PCNA;RFC2;XPA;RPA1;RPA2;XPC;RAD23B;ERCC3;ERCC4;POLD1;ERCC1;RPA3;ERCC2;ERCC8;ERCC5;POLE
KEGG_2021_Human,Mismatch repair,13/23,7.855380729433081e-23,1.2175840130621273e-21,0,0,198.47,10101.77734437764,PCNA;RFC2;RPA1;RPA2;MLH1;MLH3;MSH6;MSH2;EXO1;MSH3;POLD1;RPA3;PMS2
GO_Biological_Process_2021,Mismatch repair,13/23,7.855380729433081e-23,1.2175840130621273e-21,0,0,198.47,10101.77734437764,PCNA;RFC2;RPA1;RPA2;MLH1;MLH3;MSH6;MSH2;EXO1;MSH3;POLD1;RPA3;PMS2
GO_Biological_Process_2021,Non-homologous end-joining,10/13,7.117044767046503e-20,8.825135511137665e-19,0,0,497.593984962406,21938.5253401866,FEN1;XRCC6;RAD50;DCLRE1C;MRE11;XRCC4;PRKDC;XRCC5;LIG4;NHEJ1
KEGG_2021_Human,Non-homologous end-joining,10/13,7.117044767046503e-20,8.825135511137665e-19,0,0,497.593984962406,21938.5253401866,FEN1;XRCC6;RAD50;DCLRE1C;MRE11;XRCC4;PRKDC;XRCC5;LIG4;NHEJ1
